date,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net,model
2022-11-22,0.011508245220585672,0.011508245220585689,0.0,0.0,1.1817522874812711,-0.03516269190566823,1.1796491923636816,-0.035499486252381085,Base Equity Minimum-Variance
2022-11-23,0.0024356283813163574,0.0024356283813162793,0.0,0.0,1.184630596892346,-0.03281270677472081,1.1825223794165993,-0.03315032142730334,Base Equity Minimum-Variance
2022-11-25,0.0016243157183533999,0.0016243157183533086,0.0,0.0,1.1865548109913207,-0.03124168925174331,1.1844431691047903,-0.0315798522971128,Base Equity Minimum-Variance
2022-11-28,-0.010336413480136258,-0.010336413480136253,0.0,0.0,1.1742900898480695,-0.04125517571395554,1.1722002747652003,-0.04158984336626437,Base Equity Minimum-Variance
2022-11-29,0.00467891799513555,0.004678917995135645,0.0,0.0,1.179784496880969,-0.036769287302860554,1.1776849037247021,-0.03710552083767005,Base Equity Minimum-Variance
2022-11-30,0.016815429364087395,0.01681542936408742,0.0,0.0,1.1996230797531164,-0.020572149292182096,1.197488181036437,-0.0209140367382461,Base Equity Minimum-Variance
2022-12-01,0.0040122603677260876,0.003970647481413847,0.041446591794650316,4.1446591794650315e-05,1.2044362798922195,-0.01664242974373986,1.2022429844664921,-0.01702643152413319,Base Equity Minimum-Variance
2022-12-02,0.00568344327838248,0.0056834432783825495,0.0,0.0,1.211281625171413,-0.011053572770820419,1.2090758642755408,-0.011439757003551376,Base Equity Minimum-Variance
2022-12-05,-0.011410169067114569,-0.011410169067114562,0.0,0.0,1.1974606970403179,-0.022337618703824225,1.1952801042491892,-0.022719396509168654,Base Equity Minimum-Variance
2022-12-06,-0.00879708537323483,-0.00879708537323487,0.0,0.0,1.1869265330573608,-0.0309381981382868,1.18476512312718,-0.03131661741168401,Base Equity Minimum-Variance
2022-12-07,0.003406174289516336,0.003406174289516395,0.0,0.0,1.1909694116978056,-0.027637404743833027,1.1888006396286916,-0.02801711297922982,Base Equity Minimum-Variance
2022-12-08,0.005402041083250165,0.005402041083250264,0.0,0.0,1.1974030773886915,-0.022384662056443405,1.19522258952376,-0.02276642149132746,Base Equity Minimum-Variance
2022-12-09,-0.014896619065014851,-0.014896619065014827,0.0,0.0,1.1795658198775556,-0.036947825337904416,1.177417813909724,-0.037323897847912346,Base Equity Minimum-Variance
