trading_date,ticker,sector,vader_compound,finvader_compound,headline_count
2021-08-10,AMGN,Healthcare,0.0,0.0,1
2021-08-10,CAT,Industrials,0.05146666666666667,0.1586,3
2021-08-10,CMCSA,Comm,0.0,0.00455,2
2021-08-10,CVX,Energy,-0.07655,-0.06955,2
2021-08-10,DIS,Consumer,0.059199999999999996,0.004399999999999999,5
2021-08-10,DUK,Utilities,0.2732,0.0077,1
2021-08-10,GS,Financials,0.12040000000000001,-0.1879666666666667,3
2021-08-10,INTC,Tech,0.021179999999999997,-0.06532,5
2021-08-10,KO,Consumer,0.0,0.0077,1
2021-08-10,MMM,Industrials,0.10115,0.0116,2
2021-08-10,MRK,Healthcare,0.07543333333333334,0.079,3
2021-08-10,MS,Financials,0.0,-0.1849666666666667,3
2021-08-10,NEE,Utilities,0.0,0.3643,1
2021-08-10,NUE,Materials,0.0683,0.092225,4
2021-08-10,O,RealEstate,0.6369,0.3939,1
2021-08-10,OXY,Energy,-0.17770000000000002,-0.17335,2
2021-08-10,PSA,RealEstate,0.296,0.1547,2
2021-08-10,SBUX,Consumer,0.0,0.0,1
2021-08-10,SO,Utilities,0.4576,0.1994,1
2021-08-10,T,Comm,-0.057333333333333326,0.15198333333333333,6
2021-08-10,TMUS,Comm,0.31845,0.19445,2
2021-08-10,TTWO,Comm,0.0,0.3549,1
2021-08-10,UPS,Industrials,0.21075,0.22185,2
2021-08-10,USB,Financials,0.296,0.3094,1
2021-08-10,V,Financials,0.11315,0.0,2
2021-08-10,WFC,Financials,0.284225,0.3367,4
2021-08-10,WMT,Consumer,0.1215,0.1897333333333333,6
2021-08-10,XOM,Energy,-0.011385714285714292,-0.04132857142857144,7
2021-08-11,ABBV,Healthcare,0.3538,0.18085,2
2021-08-11,ABT,Healthcare,0.25,0.3527,1
2021-08-11,AMD,Tech,0.0,0.0,1
2021-08-11,AMGN,Healthcare,0.0,0.0232,1
2021-08-11,CAT,Industrials,0.24552999999999997,0.1722,10
2021-08-11,CCI,RealEstate,0.4767,0.1531,1
2021-08-11,CMCSA,Comm,-0.2732,-0.2686,1
2021-08-11,CVX,Energy,0.18213333333333334,0.009033333333333332,3
2021-08-11,DD,Materials,-0.6249,-0.6249,1
2021-08-11,DIS,Consumer,0.0,0.01615,2
2021-08-11,DUK,Utilities,0.1366,0.01355,2
2021-08-11,EA,Comm,-0.3818,-0.3747,1
2021-08-11,GE,Industrials,-0.6249,-0.6249,1
2021-08-11,GS,Financials,0.09866666666666667,0.2018,3
2021-08-11,INTC,Tech,0.0,0.0,1
2021-08-11,MMM,Industrials,0.0516,0.0516,1
2021-08-11,MS,Financials,0.0,0.00455,2
2021-08-11,NEE,Utilities,0.0,0.0194,1
2021-08-11,NKE,Consumer,0.04684999999999999,0.47355,2
2021-08-11,NUE,Materials,0.20337777777777777,0.16293333333333335,9
2021-08-11,O,RealEstate,0.4019,0.0387,1
2021-08-11,OXY,Energy,0.22949999999999998,0.33645,2
2021-08-11,SBUX,Consumer,0.2023,0.0129,1
2021-08-11,SLB,Energy,0.0772,0.0683,1
2021-08-11,T,Comm,0.47550000000000003,0.37050000000000005,2
2021-08-11,UPS,Industrials,0.0,0.0181,1
2021-08-11,V,Financials,0.0,0.00225,4
2021-08-11,WFC,Financials,0.3167666666666667,0.33640000000000003,3
2021-08-11,WMT,Consumer,0.0,0.01308,5
2021-08-11,XOM,Energy,0.09179999999999999,0.13948,5
2021-08-12,ABBV,Healthcare,0.6369,0.3612,1
2021-08-12,ADBE,Tech,0.47173333333333334,0.3324666666666667,3
2021-08-12,AMD,Tech,0.148,-0.00065,2
2021-08-12,AMGN,Healthcare,0.31845,0.18425,2
2021-08-12,CAT,Industrials,0.0,0.5954,1
2021-08-12,CMCSA,Comm,0.4215,0.3601,1
2021-08-12,COP,Energy,0.0,0.0181,1
2021-08-12,CVX,Energy,0.0762,0.025,1
2021-08-12,DD,Materials,0.4019,0.0142,1
2021-08-12,DIS,Consumer,0.0389875,0.22645625,16
2021-08-12,EA,Comm,0.2553,0.3126,2
2021-08-12,GILD,Healthcare,0.0,0.0155,1
2021-08-12,GS,Financials,0.1504142857142857,0.10534285714285715,7
2021-08-12,KO,Consumer,0.20610000000000003,0.04643333333333335,3
2021-08-12,MRK,Healthcare,0.0,0.0,1
2021-08-12,MS,Financials,0.125,-0.05210000000000001,2
2021-08-12,NEE,Utilities,0.0,-0.1921,1
2021-08-12,NKE,Consumer,0.1998,0.011200000000000002,3
2021-08-12,NUE,Materials,0.0,0.5954,1
2021-08-12,OXY,Energy,0.0,0.0077,1
2021-08-12,PSA,RealEstate,0.296,0.5683,1
2021-08-12,SBUX,Consumer,0.0,0.0,2
2021-08-12,SHW,Materials,0.0,0.0155,1
2021-08-12,SLB,Energy,0.0,0.24213333333333334,3
2021-08-12,SO,Utilities,0.12055,0.23645,2
2021-08-12,T,Comm,0.1101,0.09524999999999999,4
2021-08-12,TMUS,Comm,0.3041666666666667,0.24786666666666668,3
2021-08-12,TTWO,Comm,0.23956666666666668,0.08736666666666666,3
2021-08-12,UPS,Industrials,0.0,0.0,1
2021-08-12,USB,Financials,0.4019,0.0142,1
2021-08-12,V,Financials,0.14985,0.0087,4
2021-08-12,WFC,Financials,0.0625,0.21407500000000002,4
2021-08-12,WMT,Consumer,-0.11157499999999998,0.0055000000000000005,4
2021-08-12,XOM,Energy,0.0381,0.0125,2
2021-08-13,ABBV,Healthcare,0.5574,0.3612,1
2021-08-13,AMD,Tech,0.050575,0.190475,4
2021-08-13,AMGN,Healthcare,0.0,0.18425,2
2021-08-13,CAT,Industrials,0.0,0.0245,1
2021-08-13,CMCSA,Comm,0.4404,0.0387,1
2021-08-13,COP,Energy,0.0,0.3612,1
2021-08-13,CVX,Energy,0.074,0.001975,4
2021-08-13,D,Utilities,0.0,0.0,1
2021-08-13,DIS,Consumer,0.0838421052631579,0.09909473684210526,19
2021-08-13,DUK,Utilities,0.296,0.0065,1
2021-08-13,GE,Industrials,-0.148,-0.24695,2
2021-08-13,GS,Financials,0.13396666666666665,0.016766666666666666,3
2021-08-13,INTC,Tech,-0.125,0.00065,2
2021-08-13,KO,Consumer,0.4939,0.0297,1
2021-08-13,MRK,Healthcare,0.0,0.0142,1
2021-08-13,MS,Financials,0.179375,0.14885,4
2021-08-13,NKE,Consumer,0.3746,0.204875,4
2021-08-13,NUE,Materials,0.0,0.0194,1
2021-08-13,QCOM,Tech,0.1909,0.19145,2
2021-08-13,SBUX,Consumer,0.4079,0.1339,3
2021-08-13,SHW,Materials,0.0,0.0,1
2021-08-13,SO,Utilities,0.433,0.19033333333333333,3
2021-08-13,T,Comm,0.25415,0.02605,4
2021-08-13,TMUS,Comm,0.0,0.009,1
2021-08-13,USB,Financials,0.0,0.0155,1
2021-08-13,V,Financials,0.0,0.01195,4
2021-08-13,WMT,Consumer,0.1792875,0.11837500000000001,8
2021-08-13,XOM,Energy,0.0,0.18445,2
2021-08-16,ABBV,Healthcare,0.0,0.0,1
2021-08-16,ABT,Healthcare,0.2522,0.0116,4
2021-08-16,AEP,Utilities,0.0,0.0039,1
2021-08-16,AMD,Tech,0.0,0.08066,5
2021-08-16,AMGN,Healthcare,0.0,0.0,1
2021-08-16,AMT,RealEstate,-0.1779,-0.0052,1
2021-08-16,CAT,Industrials,0.2869,0.016366666666666668,3
2021-08-16,CCI,RealEstate,0.37495,0.18725,2
2021-08-16,CMCSA,Comm,0.4576,0.009,1
2021-08-16,COP,Energy,0.06596666666666667,-0.07053333333333334,3
2021-08-16,CVX,Energy,0.028271428571428576,-0.02594285714285715,7
2021-08-16,DD,Materials,0.0,0.0155,1
2021-08-16,DIS,Consumer,0.12024166666666668,0.16949166666666668,12
